cholesterol,diabetes,smoking,obesity,inactive,lesshighschool,gini,poverty,asian,black,age65,hisp,male,marri,racialseg,socialvul,large central metro,large fringe metro,medium/small metro,nonmetro,outpatientcost
32.9,8,15.1,27,19.3,12.3,0.464,12.2,4.2,5.3,14.8,3,49.449226,48.607391,0.28999999,0.6354,1,0,0,0,2805
40.3,10.2,21.8,31.3,29.4,13.9,0.446,16,1.2,0.9,29.6,16.4,50.527939,52.710182,0.28,0.8624,0,0,1,0,3240
36.6,13.2,22.1,33.8,25.8,16.6,0.474,25.2,0.7,0.7,17.4,11.4,50.078705,45.326431,0.63,0.99550003,0,0,0,1,4053
34.9,7.6,15.8,25.7,18.4,11.6,0.469,14,2.9,3.2,19.2,37.2,49.227272,46.754787,0.28999999,0.88279998,0,0,1,0,2823
34.8,11.9,18,35,27.4,14.2,0.42,12.1,1.8,4,19.9,30.1,52.130695,50.674801,0.30000001,0.8592,0,1,0,0,3205
36.7,7.7,14.8,30.1,16.8,23.4,0.5,18.8,0.8,0.2,17.3,83.4,47.915234,53.305603,0.44,0.93180001,0,0,0,1,2504
39.8,7.6,15.6,24.7,20,9,0.444,12,0.9,0.6,30.6,14.5,48.867218,55.097248,0.23999999,0.52100003,0,0,1,0,3141
35.4,10.6,15.5,38.4,23.4,26.7,0.443,20.4,1.2,1.6,18.5,63.7,51.48328,55.200825,0.38999999,0.98949999,0,0,1,0,3538
39.4,16.4,23.2,35.1,37.9,16.1,0.481,15.8,0,25.8,19,3.1,47.811768,51.802643,0.54000002,0.77869999,0,0,0,1,4499
39.1,10.8,24.1,42.2,42.8,16.7,0.469,18.5,0.1,25.2,19.9,5.4,48.470646,58.996559,0.54000002,0.85759997,0,0,0,1,5185
42.6,11.9,20.6,31.4,27,11.3,0.452,12.7,0.4,0.1,30.8,2.3,48.516666,60.021378,0.31999999,0.2793,0,0,0,1,4270
32.4,9.1,18.7,31,22.3,11.4,0.459,8.9,4.4,1.6,13.3,16.6,49.668686,59.860134,0.30000001,0.27070001,0,0,1,0,2888
38.8,8.7,23,29.1,30.1,12.6,0.436,15.1,0.4,0.3,20.3,2.4,49.395943,59.666348,0.33000001,0.43790001,0,0,0,1,4057
39.7,16.3,23.7,31.4,36.1,19,0.451,22.9,0,28.8,18.3,15.3,47.425049,53.636364,0.5,0.98030001,0,0,0,1,4107
40,7.5,24.1,25.9,38.3,15.8,0.421,15.4,0.3,21.4,21.2,3.9,50.250385,47.781803,0.54000002,0.54809999,0,0,0,1,3357
40.7,6.5,20.7,29.4,31.3,13.7,0.463,14.7,2.3,0.5,22.6,14.9,49.733597,59.480656,0.37,0.5952,0,0,0,1,3895
39.5,7,24.6,40.3,33.6,19.2,0.525,31,0.5,53.8,20,5.5,49.354687,45.181839,0.58999997,0.99680001,0,0,0,1,4988
33.6,13.5,18.8,26.5,38.6,10,0.432,20.6,0.7,24.2,16.2,4.7,46.931118,44.714931,0.40000001,0.78920001,0,0,0,1,2789
41.7,7.4,25.7,38,32.9,17.5,0.466,18.7,0,0.6,21.1,2,49.224258,54.745361,0.49000001,0.65289998,0,0,0,1,5624
42.5,9.1,22,34.2,30.8,14.1,0.45,14.1,0.6,0.3,26.8,2.4,49.537849,60.931221,0.36000001,0.20829999,0,0,0,1,3664
39.6,13.3,23.6,38.7,31.9,10.4,0.426,13.7,0,12.7,20.5,1.2,49.298721,55.414589,0.57999998,0.5643,0,0,1,0,4286
36.2,17.2,22.9,43.7,36.6,14.1,0.497,21.2,1,35.9,17.1,2.7,47.976952,43.976364,0.5,0.93980002,0,0,0,1,3277
38.9,15,23.2,39.7,32.3,13,0.481,15.6,0.2,10.2,18.9,3.9,48.681561,56.569603,0.38,0.75889999,0,0,0,1,3985
32.8,13.4,22,39.5,33.2,10.7,0.482,16.9,1.4,14.4,13.5,5,48.801529,48.629967,0.34,0.80409998,0,0,1,0,3758
38.5,12.3,22.9,39.1,27.8,15,0.448,18.3,1.8,1.3,16.4,7.7,49.256443,57.744648,0.27000001,0.61049998,0,0,1,0,3459
37.4,15.3,23.6,36.9,39,17.4,0.469,22.4,0.7,47.8,13.6,2.5,47.581772,43.278114,0.47999999,0.93409997,0,1,0,0,2964
39.4,17.1,24.5,41.9,35.5,16.4,0.459,17.8,0,18.6,18.3,0.9,48.109844,56.727783,0.56,0.70130002,0,0,0,1,3169
40.2,14.5,22.6,40.1,46.6,16.1,0.425,18.8,0.3,43.2,22.2,1.3,49.306225,46.459888,0.54000002,0.87769997,0,0,0,1,4331
41.2,7.4,26.4,47.1,33.5,18.9,0.455,25.4,0.4,46.5,18.7,6.1,47.501923,53.000435,0.54000002,0.95959997,0,0,0,1,5421
36.8,16,22.5,34.7,31,13.1,0.494,18.5,0.3,28.6,17,3.4,48.992779,51.883289,0.40000001,0.801,0,0,0,1,3983
32.3,10.5,20.3,36.5,27.3,8.2,0.467,14.4,1.4,11.3,12.2,4,48.852165,49.615231,0.30000001,0.4774,0,0,1,0,3512
39.8,12.6,25,42.3,31.4,16.3,0.453,16.2,1,0.9,19.2,3,49.24456,56.445969,0.38999999,0.59429997,0,0,0,1,4060
43.3,9.7,25.2,32.3,29.8,14.4,0.426,17.7,0.1,0.4,25.5,1.6,49.922329,55.474812,0.44,0.6688,0,0,0,1,5096
40.1,13.7,20.8,29.1,27,10.9,0.481,16.9,0.5,8.1,23.3,5.6,47.988434,50.527546,0.34999999,0.82800001,0,0,1,0,2993
38,15.3,21.7,34.3,36.8,9.2,0.447,12.1,0.1,2.5,17.8,2.7,49.062122,57.922501,0.5,0.35409999,0,0,1,0,3093
36.7,13.6,24.2,38.1,33.5,11.8,0.426,15.5,0.3,1.9,15.7,2.8,49.142132,57.284832,0.33000001,0.58340001,0,0,0,1,3681
39.3,19.2,23.9,31.5,30.1,17.4,0.42,18.5,0.4,29.9,17.9,12.8,47.262154,51.653618,0.49000001,0.94679999,0,0,0,1,3298
39,13.5,23.9,35,29.4,14.2,0.428,20.2,0.4,11.3,18.7,3.5,52.040359,56.15707,0.49000001,0.81879997,0,0,0,1,3003
39.4,7.7,24,42.4,41.4,14.8,0.511,16.8,0.3,20.8,17.6,12.5,47.990383,50.830723,0.51999998,0.90450001,0,0,0,1,4521
38.1,9.8,23.4,29.7,31.9,14,0.456,15.9,0.7,1.8,17.2,6.3,49.028774,54.242889,0.38999999,0.7525,0,0,0,1,4692
41.6,13.2,22.5,32.7,26.3,16.2,0.428,15.9,0,1.8,25,2.3,52.078114,53.14637,0.49000001,0.5697,0,0,0,1,5747
39.5,28.7,27.2,38.9,25.5,19.8,0.501,22.9,0,12.2,17.5,2.8,49.491982,45.223469,0.47999999,0.76499999,0,0,0,1,4475
36.9,12.8,23.7,42.8,32.4,13.9,0.464,24.4,1,56.4,16.8,2.1,49.481827,43.381313,0.50999999,0.9436,0,0,1,0,3597
38,11.4,24.6,40.9,30,21.1,0.449,17.5,2.1,1.5,16.2,13.9,49.165783,54.758858,0.34999999,0.8768,0,0,0,1,3549
41.1,15.7,22.9,46.1,30.5,20.3,0.581,25.5,0.3,35.7,23.3,2.6,50.588234,50.113655,0.62,0.78979999,0,0,0,1,3706
39.3,9.5,24.5,38,25.8,15.9,0.438,18.4,0.1,1.1,19.3,1.5,49.616291,55.0163,0.47999999,0.64709997,0,0,0,1,5069
39.1,12.6,27.7,40.5,31.4,24.2,0.505,35.4,0.1,55.3,18.8,2.5,56.776157,41.635784,0.47999999,0.96560001,0,0,0,1,3833
36.3,14.2,26.7,44.5,36.4,18.9,0.46,27.1,0,30.5,15.1,3.9,64.005943,45.426701,0.46000001,0.81339997,0,0,1,0,3689
